day,segment,segment_volume,unique_wallets,wallet_day_observations
2026-01-07 00:00:00+00:00,Retail,10333859.645753698,16285,16285
2026-01-07 00:00:00+00:00,Whale,414563435.0475824,2172,2172
2026-01-08 00:00:00+00:00,Mid,14924310.191872373,3153,3153
2026-01-08 00:00:00+00:00,Retail,10584235.570343187,17321,17321
2026-01-08 00:00:00+00:00,Whale,424972437.0613664,2291,2291
2026-01-09 00:00:00+00:00,Mid,12097779.30073509,2824,2824
2026-01-09 00:00:00+00:00,Retail,9032710.624918938,18060,18060
2026-01-09 00:00:00+00:00,Whale,364341346.38516796,2117,2117
2026-01-10 00:00:00+00:00,Mid,7938512.815360503,2346,2346
2026-01-10 00:00:00+00:00,Retail,11907119.538459979,18609,18609
2026-01-10 00:00:00+00:00,Whale,105343691.90749143,1691,1691
2026-01-11 00:00:00+00:00,Mid,9926827.184727903,2288,2288
2026-01-11 00:00:00+00:00,Retail,12016155.874678832,15703,15703
